MBID,Tonic_Annotation_(Hz)
e8d5f20e-203f-4d13-9691-cabc01e8ef91,223
57bc00a4-366f-435c-92e9-78d5b057c143,396
4f990256-e76f-499f-8c92-153365ad6bfa,248
90b2fc25-ae93-44f2-9d7a-90c316da985c,223
5440624e-e29f-4a9c-986e-631067b95147,397
d2dbcc55-17ec-4bab-a804-1801b6ea692c,223
f6844242-baf3-418b-ad55-03dba4bd6090,396
6a2ebb56-6419-46ec-931f-6389a41ba00a,198
5f53738a-a64d-4f9f-bb76-0276286fc502,223
616ba3b9-c329-4b0e-8f0e-9a0531f55c2e,248
098cc966-cf98-4be9-8bc2-8b1ed9670224,445
cdf13b3e-deb3-4842-bce1-719e29f988fd,220
34e55f84-546f-4e0b-9adc-6cc677609daf,275
7c8671ae-d3f5-4ad6-a52d-2beb3c57fc29,220
464c1a59-c64d-4797-8f1e-86e0d9a28d3a,221
d6fb4cbc-6b43-4981-bdcd-4ad48933feaa,209
2fb0e3ba-6b4a-4eaa-82d7-f948dbde0942,275
b53da5ac-fb0d-48b1-b722-f0751115804c,249
6f142c0a-de95-467c-8231-1444d6797c03,293
4935311e-eac5-4946-aec7-70b757d35b78,219
a46a369c-3f71-4ce9-850d-ced897f29728,249
32560c63-bf50-4ebe-8ddc-ef1613558c1c,194
2cd816ec-a766-46cd-a6eb-edccf1b7be03,330
b66436fa-c98f-479f-86ac-f49f6391a098,331
74d9fafc-2343-4a21-80f4-eebbd106fdb4,123
09676e9a-1cc2-4f82-b7fc-e419b2602dbe,123
83ce84e0-622c-451a-9042-aa7550a54e9b,123
97220334-8d90-4b60-933a-b58edda1db0d,248
12142a0b-9424-4a30-9f63-75d1ec27dc00,247
3175598b-7aaa-4b56-a53c-548775c3d167,130
49f3cc2e-6021-4370-b1bd-462a007e7472,109
1615035e-786b-4a4f-bc96-c200988bda17,109
65c3fdee-4d38-4b7d-9618-351b368dc2bd,123
72e05cc4-8012-46e7-882c-3d9491b254d3,109
ebc28f76-4cbf-4175-80c3-b9b5fe0df2bd,110
cbc41809-5ee7-4d34-9491-8a4f60064914,183
9348afbd-cc69-436e-a2d8-fbb1a6b69af0,220
2a46499a-86f8-4e0e-8e88-6e3014dcbe72,220
c34177d5-6e14-4114-bf70-7cdd6c6332c3,116
4c7e88a9-1674-4cf3-95e5-da7932cb4a2d,220
9805d026-3310-4fec-90dc-e49e868d12d3,109
5a372d52-2dd0-445e-9607-875c36beb29c,220
d6d8beb3-477f-4ddd-92f5-52d61d314144,139
502faca6-c9a0-44e1-a2e2-c31bbfdcaf38,247
d5974740-478c-4740-91ae-6bfbe362afdf,248
4e36a9fe-fa70-4a3c-83b5-44f6abf4998f,123
b46414d4-36d7-48db-b099-b6037d42c4ae,123
eb7fef69-d898-45cd-8e62-757ed50f3167,248
787f2b43-6cb1-4e26-b1ab-a2f44dec3390,248
4ffdbfdb-4a75-4288-9827-ea6cf7f87eab,124
e23037e6-f90e-4ee2-a557-7eb5b51d54fe,275
43555397-d20c-4c63-b304-18e997433bc8,276
c9a7c100-a7c5-4e9e-a16b-c7576ffd815f,276
aa5fe379-9d32-4ab3-a073-1bf44e771506,490
a80b0276-f769-433c-8944-d316848409c5,247
9b7da4f3-bdbc-4404-b316-779e5243151d,123
9b0eb258-45c5-44f1-a584-3179fb93ae74,248
00a48b5f-a35a-436c-a7a0-4438130f4abf,250
fd33be60-69e8-4f2e-a863-e97438167daa,125
e9693710-d9cd-4d2a-b0df-a845c7df3a8f,248
7862ecb7-4840-401c-bf3f-9b1bb5526178,248
6f26af11-7e51-4a2f-bca7-736a9c47fb3e,249
70a235be-074d-4b9b-8f94-b1860d7be887,249
da0f31ea-1ee3-4be4-921c-0b11047e71eb,250
43b78df6-a9ea-412f-a106-bb9067a31904,249
e0edd001-4dde-4bfe-9cf4-7b6e2a622911,250
047ad4c8-b55b-4846-ae0c-4dbae3256be7,122
1d43b758-119c-484e-b8cd-086fbe643847,250
163dfec1-0ee0-454a-9438-620011824a43,220
163dfec1-0ee0-454a-9438-620011824a43,119
f84d9770-ecde-4df2-a50b-1f5136affd54,222
a8bbb2db-6685-47ae-8e8e-a853ea12760f,221
6382682e-06b6-46a0-b20c-e0c2a79546f3,221
b70751d9-a443-44da-be28-ce13f5d3bbf8,221
b17a45cf-08fe-4755-b77c-ae1272ccda72,331
42f0ae68-f207-4d1d-8163-9e392cc15741,110
d492817a-f722-4718-9ede-c6f120aa3495,221
a42d27d7-f595-46c0-a7d2-fa3b74ff880e,221
99488da0-a3f3-44d5-a7d5-dde06c35b1d8,110
f8978b8d-b67e-4ff5-82d2-24a4715ca359,220
b0ff86ee-25ca-415e-b377-84038efe43a9,124
b0ff86ee-25ca-415e-b377-84038efe43a9,221
76c42f82-7838-4628-bd09-a4ee4a99b9fd,219
ef8c34c7-0686-4c23-823f-011431cdaff2,218
60f7b0d0-606a-4f58-9ff5-211f0facec86,219
4f7a2ecb-a3ab-49ba-87d7-7e9393b86224,163
dafe8fa4-fc19-4d68-b900-814ce9c2ee16,164
42f567f4-d1fe-4f7d-ad02-5b2b4d8f6a3a,327
ebacd0b1-f1d8-4544-ada2-d2f7111360ff,326
7aae8fd0-345c-4ccc-a5a5-326069112b4f,583
a7a9c147-695d-423a-a0ad-96cd373b4ab5,290
262055a9-d904-4ac5-91fd-5d76cdf35343,167
deeac144-7560-4009-8419-604c5904d8ff,167
e72db0ad-2ed9-467b-88ae-1f91edcd2c59,334
04ea63c9-4919-41b6-b578-28d8fc0ba897,147
4d58f5bd-6fb0-4065-8b27-d2ac7e19f77e,221
71a4390f-6024-4f01-808d-a36e6432f9eb,220
4befe61b-94c6-4c82-88d1-c9695b36891d,296
b5e91522-304b-4492-8d5e-7f06a1200f5b,148
b5e91522-304b-4492-8d5e-7f06a1200f5b,297
c2b88aef-ce0f-4a8c-909e-640816cab96d,148
53e41af1-2154-46fe-a367-8b3db1702e21,261
2fdcb0fb-43f4-4ec3-af59-65349fa53fea,371
27632e1e-3a29-44df-bdf4-59e2f3aff1c7,220
624ac466-1811-4e3e-8804-ccd0b7c20469,246
f59af55a-e971-49d2-8f3e-0b934e0aa77b,295
a527a6bf-3ddd-4622-abb8-f93d80848e6c,496
a527a6bf-3ddd-4622-abb8-f93d80848e6c,247
071f1f26-6a79-4177-bd4a-e2e770cebeb6,527
36e2f0e0-af28-463e-aada-5504abcfbfad,245
fcfb99d1-994d-4727-8acb-019c533a6e80,295
a7e9e44b-2a6f-4d97-9bab-8a63261eb5fc,147
8eefc682-7209-4360-8311-096e5a61b36f,219
c1890e4e-9bbf-4006-a27a-b5c4f1d02fe7,332
ced43288-4f64-49f1-b1e7-e8006e7f781e,333
725473b5-d860-41aa-87b6-ce2bf000674b,261
