symbTr,MBID,Tonic_Annotation_(Hz)
acemasiran--pesrev--devrikebir--neyzen_salih_dede,2794722a-eefe-4ba8-bd94-4a9d327f5c05,391.8273
acemasiran--pesrev--devrikebir--neyzen_salih_dede,37dd6a6a-4c19-4a86-886a-882840d59518,362.6867
acemasiran--pesrev--devrikebir--neyzen_salih_dede,28e05732-8a5c-4f57-ac66-42dcd8f16779,393.4744
acemasiran--pesrev--devrikebir--neyzen_salih_dede,d47cb362-e7c4-4a56-863f-20107a3a75b3,394.7285
acemasiran--pesrev--devrikebir--neyzen_salih_dede,fa069c5e-78bc-4f56-ba82-c976315e6668,175.62
acemasiran--pesrev--devrikebir--neyzen_salih_dede,bbe3c943-332a-4ddb-96d0-986e7bd350ef,389.2067
acemasiran--pesrev--devrikebir--neyzen_salih_dede,c3eb4ecc-2602-4804-be04-47740b8fa3bd,261.3493
ferahfeza--pesrev--muhammes--tanburi_cemil_bey,50ca994d-f899-4d3a-ad3a-8c07d97a5c90,169.8722
ferahfeza--pesrev--muhammes--tanburi_cemil_bey,f6850c6b-1879-432d-90e4-a75896df0188,221.2228
ferahfeza--pesrev--muhammes--tanburi_cemil_bey,2f8784d8-92d8-4a6c-a911-b48ad7874082,291.2334
ferahfeza--pesrev--muhammes--tanburi_cemil_bey,540d41c8-4d08-4461-8e81-2733998d7dec,108.2766
ferahfeza--pesrev--muhammes--tanburi_cemil_bey,b29c8d9d-2b3e-4ae0-a8be-483be9b48d92,219.8956
hicaz--pesrev--fahte--neyzen_salim_bey,fc7ba4f1-d100-4537-8850-d901fc9bbb38,226.0702
hicaz--pesrev--fahte--neyzen_salim_bey,4584d4e4-62dd-4ac0-aa8c-bbfaec5cfdec,303.581
hicazkar--pesrev--muhammes--tanburi_cemil_bey,1647cd5a-aebc-4438-8275-def09823fd22,219.8421
hicazkar--pesrev--muhammes--tanburi_cemil_bey,34b9e2f1-273d-4cbd-bcb7-182a2e87798e,147.3415
hicazkar--pesrev--muhammes--tanburi_cemil_bey,f097cd70-98a2-4d07-95b0-bb0695e3b5e9,142.4544
hicazkar--pesrev--muhammes--tanburi_cemil_bey,8d82f1d1-abd3-4b58-97b3-189e773287e1,195.9114
huseyni--pesrev--devrikebir--kul_mehmet,b95910bf-a427-464f-906c-29e8d54b29a1,507.6406
huseyni--pesrev--devrikebir--kul_mehmet,8ee7ab25-16d6-4728-8dca-7399275aa74c,452.0331
huseyni--pesrev--muhammes--lavtaci_andon,8b78115d-f7c1-4eb1-8da0-5edc564f1db3,247.115
huseyni--pesrev--muhammes--lavtaci_andon,cccf944d-c237-43e0-82ac-e1c29dbc1b62,444.1551
huseyni--pesrev--muhammes--lavtaci_andon,cd43d6c1-d8d1-4481-ba49-68904f3a89f1,293.4531
huseyni--pesrev--muhammes--lavtaci_andon,e6c57fc4-4c5a-45d1-a8e7-125191e3015b,224.9617
huseyni--pesrev--muhammes--lavtaci_andon,9442e4cf-0cb3-4cb3-a060-77aa37392501,441.8745
isfahan--pesrev--devrikebir--tanburi_cemil_bey,dd3666ac-d111-437b-a4b8-fb307afda011,220.1245
isfahan--pesrev--devrikebir--tanburi_cemil_bey,a6768f1d-19b9-4320-9a11-10ec07d099f8,280.0629
isfahan--pesrev--devrikebir--tanburi_cemil_bey,d7379bfc-9ddd-4235-b8fe-9fb5d7066ab9,133.8779
isfahan--pesrev--devrikebir--tanburi_cemil_bey,ed189797-5c50-4fde-abfa-cb1c8a2a2571,175.7427
karcigar--pesrev--cifteduyek--tatyos_efendi,ca886e4e-b7ba-4231-8446-d19b49d7f3da,222.0202
karcigar--pesrev--cifteduyek--tatyos_efendi,b01042b9-18c1-4e1e-9380-4353190945b2,504.4926
karcigar--pesrev--cifteduyek--tatyos_efendi,5940213a-dc5c-4c7f-972e-161243fd1011,450.0886
kurdilihicazkar--pesrev--agirduyek--vasilaki,e5491d81-8d11-4e10-b8b9-e393b08a71fe,222.3934
kurdilihicazkar--pesrev--agirduyek--vasilaki,553ea4d2-9195-440f-9c42-01655edef0a8,221.1788
